Restaurants,,,,,,,,,,
Pearl,700 Bellevue Way NE,Bellevue,WA,98004,(425) 455-0181,"American,Contemporary,Seafood,Cafe,Pasta",3,4,"Mon-Wed 11:00 AM-11:59 PM; Thu-Sat 12:00 AM-1:30 AM, 11:00 AM-11:59 PM; Sun 12:00 AM-1:30 AM, 2:00 PM-11:59 PM","http://pearlbellevue.com/
"
JOEY Bellevue,800 Bellevue Way NE,Bellevue,WA,98004,(425) 637-1177,"American,Pizza,Italian,Eclectic,International",2,3.5,"Open Daily 12:00 AM-2:00 AM, 11:00 AM-11:59 PM","http://www.joeyrestaurants.com
"
Novilhos Brazilian Steakhouse,12405 SE 38th St,Bellevue,WA,98006,(425) 603-1111,"Brazilian,Steak,South American,American,Latin",4,4,"Mon 11:00 AM-2:00 PM, 5:00 PM-11:59 PM; Tue-Fri 12:00 AM-10:00 AM, 11:00 AM-2:00 PM, 5:00 PM-11:59 PM; Sat 12:00 AM-10:00 AM, 4:30 PM-10:30 PM; Sun 4:00 PM-9:00 PM","http://www.novilhos.com
"
Chipotle Mexican Grill,10503 NE 4th St,Bellevue,WA,98004,(425) 467-0660,"Mexican,Grill,American,Cafe",1,5,Open Daily 11:00 AM-10:00 PM,"http://www.chipotle.com/
"
Seastar Restaurant & Raw Bar,205 108th Ave NE,Bellevue,WA,98004,(425) 456-0010,"Raw,Seafood,Sushi,Steak,American",3,4.5,Mon-Fri 11:30 AM-10:00 PM; Sat 5:00 PM-10:00 PM; Sun 5:00 PM-9:00 PM,"http://www.seastarrestaurant.com
"
Burgermaster,10606 Northup Way,Bellevue,WA,98004,(425) 827-9566,"Burgers,American,Fast Food,Diner,Cafe",1,4,"Mon-Fri 10:00 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 10:00 AM-11:59 PM","http://www.burgermaster.biz
"
Chutneys,938 110th Ave NE,Bellevue,WA,98004,(425) 467-0867,"Indian,Vegetarian,Cafe,Pakistani,Seafood",2,3.5,"Mon-Thu 11:30 AM-2:30 PM, 5:00 PM-10:00 PM; Fri-Sat 11:30 AM-2:30 PM, 5:00 PM-10:30 PM; Sun 11:30 AM-2:30 PM, 5:00 PM-10:00 PM","http://www.chutneys.com
"
Blue C Sushi,503 Bellevue Sq,Bellevue,WA,98004,(425) 454-8288,"Sushi,Japanese,Asian,Healthy,Seafood",2,4,Mon-Thu 11:00 AM-9:30 PM; Fri-Sat 11:00 AM-10:30 PM; Sun 11:00 AM-9:30 PM,"http://www.bluecsushi.com/
"
Applebee's,3520 Factoria Blvd SE,Bellevue,WA,98006,(425) 603-0099,"Grill,American,Burgers,Traditional,Steak",2,3.5,"Mon-Fri 11:00 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 10:00 AM-11:59 PM","http://www.applebees.com
"
Thai Kitchen,14115 NE 20th St,Bellevue,WA,98007,(425) 641-9166,"Thai,Asian,American,Fast Food,Pan Asian",2,4,Open Daily 11:00 AM-10:00 PM,"http://www.thethaikitchen.com/
"
Swish Swish,14603 NE 20th St,Bellevue,WA,98007,(425) 644-3545,"Asian,Japanese,International",2,3.5,Open Daily 11:00 AM-9:30 PM,"http://www.swish-swish.com/
"
El Tapatio,3720 Factoria Blvd SE,Bellevue,WA,98006,(425) 373-0855,"Mexican,Latin American,Tex Mex,American",2,4,Open Daily 11:00 AM-10:00 PM,"http://www.tapatiofactoria.com/
"
Maggiano's,10455 NE 8th St,Bellevue,WA,98004,(425) 519-6476,"Italian,American,Pasta,European,Salad",2,4,Mon-Thu 11:30 AM-10:00 PM; Fri-Sat 11:30 AM-11:00 PM; Sun 11:30 AM-10:00 PM,"http://www.maggianos.com/
"
Zeeks Pizza,10201 NE 10th St,Bellevue,WA,98004,(425) 893-8646,"Pizza,Salad,Soup,Greek,Italian",2,3.5,Open Daily 11:00 AM-10:00 PM,"http://zeekspizza.com/locations-hours/zeeks-pizza-bellevue/
"
The Goose Pub N Eatery,12001 NE 12th St,Bellevue,WA,98005,(425) 454-1554,"Pub Food,American,Burgers,Sandwiches,Subs",1,4.5,"Mon-Sat 12:00 AM-2:00 AM, 11:00 AM-11:59 PM; Sun 12:00 AM-2:00 AM, 12:00 PM-11:59 PM","http://www.goosepub.com
"
Top Gun Seafood Restaurant,12450 SE 38th St,Bellevue,WA,98006,(425) 641-3386,"Seafood,Chinese,Dim Sum,Asian,American",2,3.5,"Mon-Fri 11:00 AM-3:00 PM, 4:30 PM-11:00 PM; Sat-Sun 10:00 AM-11:59 PM","http://www.topgunrestaurants.com/
"
Dairy Queen,3080 148th Ave SE,Bellevue,WA,98007,(425) 747-1370,"Ice Cream,Burgers,Fast Food",1,3.5,Mon-Thu 11:00 AM-9:00 PM; Fri-Sat 11:00 AM-9:30 PM; Sun 11:00 AM-9:00 PM,"http://www.dairyqueen.com
"
Red Mango,1031 Bellevue Sq,Bellevue,WA,98004,(425) 451-8073,"Ice Cream,Frozen Yogurt,Cafe",1,3.5,Mon-Sat 9:30 AM-9:30 PM; Sun 11:00 AM-7:00 PM,"http://www.redmangousa.com
"
Lucky Strike,700 Bellevue Way NE,Bellevue,WA,98004,(425) 453-5137,"American,Sandwiches,Subs,Burgers",1,3.5,"Mon-Fri 11:30 AM-11:59 PM; Sat-Sun 12:00 AM-2:00 AM, 11:00 AM-11:59 PM","http://www.bowlluckystrike.com/
"
Southgate Garden,3703 150th Ave SE,Bellevue,WA,98006,(425) 603-9292,"Korean,Asian,Vietnamese,Cafe,Halal",1,3.5,Open Daily 11:00 AM-10:00 PM,"http://southgategarden.com
"
Starbucks,3181 156th Ave SE,Bellevue,WA,98007,(425) 641-2806,"Cafe,Coffee,Tea",1,3.5,Mon-Fri 4:30 AM-10:00 PM; Sat-Sun 5:30 AM-9:00 PM,"http://www.starbucks.com
"
Jamba Juice,3930 Factoria Blvd SE,Bellevue,WA,98006,(425) 643-9075,"Smoothies,American,Juices,Traditional,Halal",1,3.5,Mon-Thu 7:00 AM-9:00 PM; Fri 7:00 AM-10:00 PM; Sat 8:30 AM-10:00 PM; Sun 8:30 AM-8:30 PM,"http://www.jambajuice.com/
"
McDonald's,13841 NE 20th St,Bellevue,WA,98005,(425) 643-0466,"Fast Food,Burgers",1,3.5,"Mon-Fri 5:00 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 5:00 AM-11:59 PM","http://www.mcdonalds.com
"
Din Tai Fung,700 Bellevue Way NE,Bellevue,WA,98004,(425) 698-1095,"Chinese,Dim Sum,Asian,Noodle Bar,Taiwanese",2,4.5,Mon-Fri 11:00 AM-10:00 PM; Sat-Sun 10:00 AM-10:00 PM,"http://www.dintaifungusa.com/
"
Specialty's Cafe & Bakery,126 Bellevue Sq,Bellevue,WA,98004,(877) 502-2837,"Bakery,Cafe,Healthy,Deli,Sandwiches",1,3.5,Mon-Sat 9:30 AM-9:30 PM; Sun 11:00 AM-7:00 PM,"http://www.specialtys.com/
"
KFC,12611 SE 38th St,Bellevue,WA,98006,(425) 641-2949,"Fast Food,Chicken",1,3,Open Daily 10:30 AM-10:00 PM,"http://www.kfc.com
"
Taco Bell,3705 Factoria Blvd SE,Bellevue,WA,98006,(425) 747-4637,"Fast Food,Mexican",1,3,"Mon-Fri 12:00 AM-1:00 AM, 9:00 AM-11:59 PM; Sat-Sun 12:00 AM-3:00 AM, 9:00 AM-11:59 PM","http://www.tacobell.com
"
Subway,3080 148th Ave SE,Bellevue,WA,98007,(425) 653-1611,"Fast Food,Sandwiches,Subs",1,4.5,Mon-Fri 7:00 AM-10:00 PM; Sat 7:00 AM-9:00 PM; Sun 8:00 AM-8:00 PM,"http://www.subway.com
"
John Howie Steak,11111 NE 8th St,Bellevue,WA,98004,(425) 440-0880,"Steak,American,Seafood,Contemporary,Burgers",4,4.5,"Mon-Thu 11:00 AM-2:30 PM, 5:00 PM-10:00 PM; Fri 11:00 AM-2:30 PM, 5:00 PM-11:00 PM; Sat 4:30 AM-11:00 AM; Sun 5:00 PM-9:00 PM","http://www.johnhowiesteak.com
"
Lunchbox Laboratory,989 112th Ave NE,Bellevue,WA,98004,(425) 505-2676,"American,Burgers,Contemporary,Traditional",2,4,Open Daily 11:00 AM-11:00 PM,"http://lunchboxlaboratory.com
"
Domino's Pizza,15100 SE 38th St,Bellevue,WA,98006,(425) 747-9766,Pizza,1,3.5,"Mon-Fri 10:30 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 10:30 AM-11:59 PM","http://www.dominos.com
"
Sushi In Joy,2618 Bellevue Way NE,Bellevue,WA,98004,(425) 576-1743,"Sushi,Japanese,Asian,Halal,Cafe",2,4.5,"Mon-Thu 11:30 AM-2:00 PM, 5:00 PM-9:00 PM; Fri 11:30 AM-2:00 PM, 5:00 PM-9:30 PM; Sat 5:00 PM-9:30 PM","http://sushiinjoybellevue.com
"
Teriyaki House,4957 Lakemont Blvd SE,Bellevue,WA,98006,(425) 562-7000,"Japanese,Asian,Pan Asian,Halal,Tea",1,5,Mon-Sat 11:00 AM-9:00 PM,"http://teriyaki-house.com/
"
Kidd Valley,15259 Bel Red Rd,Bellevue,WA,98007,(425) 643-4165,"Burgers,Fast Food,American,Ice Cream,Hot Dogs",1,4,Open Daily 11:00 AM-9:00 PM,"http://www.kiddvalley.com/
"
McCormick & Schmick's Seafood & Steaks,700 Bellevue Way NE,Bellevue,WA,98004,(425) 454-2606,"Seafood,Steak,American,Pub Food,Traditional",2,4,Mon-Sat 11:00 AM-11:00 PM; Sun 11:00 AM-10:00 PM,"http://www.mccormickandschmicks.com/locations/seattle-washington/bellevue-washington/bellevuewayne.aspx
"
Facing East Taiwanese Restaurant,1075 Bellevue Way NE,Bellevue,WA,98004,(425) 688-2986,"Taiwanese,Chinese,Asian,Thai,Burgers",2,4.5,"Mon-Thu 11:30 AM-3:00 PM, 5:00 PM-9:00 PM; Fri-Sat 11:30 AM-3:00 PM, 5:00 PM-10:00 PM; Sun 11:30 AM-3:00 PM, 5:00 PM-9:00 PM","http://facingeastrestaurant.com
"
Outback Steakhouse,15100 SE 38th St,Bellevue,WA,98006,(425) 746-4647,"Diner,Steak",2,2,Mon-Thu 4:00 PM-10:00 PM; Fri 4:00 PM-11:00 PM; Sat 12:00 PM-11:00 PM; Sun 12:00 PM-9:00 PM,"http://www.outback.com
"
Burger King,11723 NE 8th St,Bellevue,WA,98005,(425) 453-5775,"Fast Food,Burgers",1,3,"Mon 12:00 AM-1:00 AM, 6:00 AM-11:00 PM; Tue-Fri 6:00 AM-11:00 PM; Sat 6:00 AM-11:59 PM; Sun 12:00 AM-1:00 AM, 6:00 AM-11:59 PM","http://www.burgerking.com
"
Taco Del Mar,677 120th Ave NE,Bellevue,WA,98005,(425) 646-9041,"Mexican,Fast Food,Tex Mex,American,Cafe",1,4,Mon-Fri 10:30 AM-8:00 PM; Sat 11:00 AM-8:00 PM; Sun 11:30 AM-7:00 PM,"http://www.tacodelmar.com
"
Peaks Frozen Yogurt Bar,15600 NE 8th St,Bellevue,WA,98008,(425) 698-1302,"Frozen Yogurt,Ice Cream,Fast Food,Healthy,Pub Food",1,4,Mon-Thu 11:00 AM-9:00 PM; Fri-Sat 11:00 AM-11:00 PM; Sun 11:00 AM-9:00 PM,"http://peaksfrozenyogurt.com
"
Bis On Main,10213 Main St,Bellevue,WA,98004,(425) 455-2033,"American,French,Bistro,Seafood,Italian",3,3.5,Mon-Thu 11:30 AM-11:00 PM; Fri 11:30 AM-11:59 PM; Sat 5:00 PM-11:59 PM; Sun 5:00 PM-9:00 PM,"http://www.bisonmain.com/
"
California Pizza Kitchen,595 106th Ave NE,Bellevue,WA,98004,(425) 454-2545,"Pizza,Californian,American,Contemporary,Vegan",2,4,Mon-Thu 11:00 AM-10:00 PM; Fri-Sat 11:00 AM-11:00 PM; Sun 11:00 AM-10:00 PM,"http://www.cpk.com/
"
Wild Ginger,11020 NE 6th St,Bellevue,WA,98004,(425) 495-8889,"Asian,Chinese,Thai,Pacific Rim,Fusion",3,3.5,"Mon-Thu 11:30 AM-3:00 PM, 4:00 PM-10:00 PM; Fri-Sat 11:30 AM-3:00 PM, 4:00 PM-11:59 PM; Sun 12:00 PM-3:00 PM, 4:00 PM-9:00 PM","http://www.wildginger.net
"
Firenze Ristorante Italiano,15600 NE 8th St,Bellevue,WA,98008,(425) 957-1077,"Italian,Diner,Cafe,American,European",2,3.5,"Mon-Fri 11:30 AM-2:00 PM, 5:00 PM-10:30 PM; Sat-Sun 5:00 PM-10:30 PM","http://www.firenzerestaurant.com/
"
Sacks Gourmet Sandwiches,3640 Factoria Blvd SE,Bellevue,WA,98006,(425) 643-0292,"Sandwiches,Deli,Subs,Soup,Halal",1,5,Mon-Fri 8:30 AM-5:00 PM; Sat 11:30 AM-3:00 PM,"http://www.sacksbellevue.com/
"
Spice Route,2241 148th Ave NE,Bellevue,WA,98007,(425) 643-4144,"Indian,Vegan,Pakistani,Vegetarian,Asian",2,4,"Mon-Thu 11:30 AM-2:30 PM, 5:00 PM-9:30 PM; Fri 11:30 AM-2:30 PM, 5:00 PM-10:00 PM; Sat 12:00 PM-3:00 PM, 5:00 PM-10:00 PM; Sun 12:00 PM-3:00 PM, 5:00 PM-9:30 PM","http://www.spiceroutecuisine.com/
"
Noble Court Restaurant,1644 140th Ave NE,Bellevue,WA,98005,(425) 641-6011,"Dim Sum,Seafood,Chinese,Asian,Barbecue",2,3.5,Mon-Thu 11:00 AM-9:30 PM; Fri 11:00 AM-10:30 PM; Sat 10:00 AM-10:30 PM; Sun 10:00 AM-9:30 PM,"http://www.thenoblecourt.com/
"
The Parlor Billiards & Spirits,700 Bellevue Way NE,Bellevue,WA,98004,(425) 289-7000,"American,Pub Food,Burgers",2,3,"Open Daily 12:00 AM-2:00 AM, 11:00 AM-11:59 PM","http://www.parlorbilliards.com
"
Garlic Crush,102 Bellevue Way NE,Bellevue,WA,98004,(425) 455-2235,"Mediterranean,Greek,Middle Eastern,Lebanese,Vegetarian",1,4.5,Mon-Thu 11:00 AM-9:00 PM; Fri-Sat 11:00 AM-10:00 PM; Sun 11:00 AM-9:00 PM,"http://www.garliccrush.com/
"
MOD Pizza,317 Bellevue Way NE,Bellevue,WA,98004,(425) 455-0141,"Pizza,American,Italian",1,4.5,Mon-Thu 11:00 AM-9:00 PM; Fri-Sat 11:00 AM-10:00 PM; Sun 11:00 AM-9:00 PM,"http://modpizza.com/locations/bellevue/
"
Red Robin Gourmet Burgers,25207 104th Ave SE,Kent,WA,98030,(253) 850-8101,"Burgers,American,Traditional,Salad,Sandwiches",1,2.5,Mon-Thu 11:00 AM-10:00 PM; Fri-Sat 11:00 AM-11:00 PM; Sun 11:00 AM-10:00 PM,"http://www.redrobin.com/
"
Wild Wheat Bakery Cafe & Restaurant,202 1st Ave S,Kent,WA,98032,(253) 856-8919,"Bakery,Cafe,American,Traditional,Sandwiches",1,4,Mon-Thu 7:00 AM-3:00 PM; Fri 7:00 AM-3:30 PM; Sat 7:00 AM-4:00 PM; Sun 7:30 AM-2:30 PM,"http://wildwheat.wordpress.com/
"
Panera Bread,521 2nd Pl N,Kent,WA,98032,(253) 854-1711,"American,Sandwiches,Soup,Bakery",1,4.5,Mon-Thu 6:00 AM-9:00 PM; Fri-Sat 6:00 AM-10:00 PM; Sun 7:00 AM-9:00 PM,"http://www.panerabread.com
"
Starbucks,6719 S 211th St,Kent,WA,98032,(425) 251-1242,"Cafe,Coffee,Tea",1,3.5,Mon-Fri 4:30 AM-7:30 PM; Sat-Sun 5:30 AM-6:30 PM,"http://www.starbucks.com
"
Cloud 9,806 Central Ave S,Kent,WA,98032,(253) 852-9910,"Grill,Pub Food,American,Halal",2,3.5,"Open Daily 12:00 AM-2:00 AM, 12:00 PM-11:59 PM","http://cloud9.com
"
Pho Saigon Garden,25632 Pacific Hwy S,Kent,WA,98032,(253) 946-2233,"Pho,Vietnamese,Noodle Bar,Asian,Pan Asian",1,4.5,Mon-Sat 10:00 AM-9:00 PM; Sun 10:00 AM-7:30 PM,"http://phosaigonkent.com/
"
El Parral,26122 Pacific Hwy S,Kent,WA,98032,(253) 941-0214,Mexican,2,4.0,"Thu 9:00 PM-11:59 PM; Fri-Sat 12:00 AM-2:00 AM, 9:00 PM-11:59 PM; Sun 12:00 AM-2:00 AM","http://elparral.com
"
Sam's Sports Bar,23803 104th Ave SE,Kent,WA,98031,(253) 277-0485,"American,Traditional",2,3.5,"Mon 12:00 AM-2:00 AM, 11:00 AM-11:59 PM; Tue-Thu 11:00 AM-11:59 PM; Fri-Sun 12:00 AM-2:00 AM, 11:00 AM-11:59 PM","http://www.samssportsbarkent.com
"
Jamba Juice,417 Ramsay Way,Kent,WA,98032,(253) 852-4078,"Smoothies,American,Traditional,Juices,Halal",1,5,Mon-Sat 8:00 AM-9:00 PM; Sun 9:00 AM-7:00 PM,"http://www.jambajuice.com/
"
Subway,23235 Pacific Hwy S,Kent,WA,98032,(206) 824-3193,"Fast Food,Sandwiches,Subs",1,4.5,Mon-Fri 7:00 AM-10:00 PM; Sat 8:00 AM-10:00 PM; Sun 9:00 AM-9:30 PM,"http://www.subway.com
"
Asian Gardens Buffet,406 Washington Ave S,Kent,WA,98032,(253) 813-8800,"Asian,Chinese,Ice Cream,Ribs,Pan Asian",2,3.5,Mon-Thu 11:00 AM-9:00 PM; Fri-Sat 11:00 AM-10:00 PM; Sun 11:00 AM-9:00 PM,"http://www.asiangardensbuffetkent.com/
"
Wendy's,6331 S 212th St,Kent,WA,98032,(253) 395-5634,"Fast Food,Burgers",1,3.5,"Mon-Fri 12:00 AM-1:00 AM, 6:00 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 7:00 AM-11:59 PM","http://www.wendys.com
"
McDonald's,1236 W Meeker St,Kent,WA,98032,(253) 859-9692,"Fast Food,Burgers",1,3,Open Daily 12:00 AM-12:00 AM,"http://www.mcdonalds.com
"
Burger King,23221 Pacific Hwy S,Kent,WA,98032,(206) 878-8608,"Fast Food,Burgers",1,3.5,"Mon 12:00 AM-1:00 AM, 6:00 AM-11:00 PM; Tue-Fri 6:00 AM-11:00 PM; Sat 6:00 AM-11:59 PM; Sun 12:00 AM-1:00 AM, 6:00 AM-11:59 PM","http://www.burgerking.com
"
Paolo's Italian Restaurant,23810 104th Ave SE,Kent,WA,98031,(253) 850-2233,"Italian,Pizza,European,Cafe,Ice Cream",2,3.5,"Mon-Thu 11:30 AM-2:00 PM, 4:30 PM-9:00 PM; Fri 11:30 AM-2:00 PM, 4:30 PM-10:00 PM; Sat 4:30 PM-10:00 PM; Sun 4:00 PM-8:00 PM","http://www.paolositalian.com
"
Jack In The Box,23911 104th Ave SE,Kent,WA,98031,(253) 854-3044,"Fast Food,Burgers",1,1,Open Daily 12:00 AM-11:59 PM,"http://www.jackinthebox.com
"
Thai Chili Restaurant,120 Washington Ave N,Kent,WA,98032,(253) 850-5887,"Thai,Asian,American,Cafe,Vegetarian",2,4.5,Mon-Fri 11:00 AM-9:00 PM; Sat 12:00 PM-9:00 PM,"http://www.mythaichili.com
"
Maggie's On Meeker,307 W Meeker St,Kent,WA,98032,(253) 852-4116,"Deli,American,Traditional,Sandwiches,Bakery",1,4,Open Daily 7:00 AM-2:00 PM,"http://www.maggiesonmeeker.com
"
Olive Tree,12930 SE Kent Kangley Rd,Kent,WA,98030,(253) 630-4976,"Mediterranean,Greek,Middle Eastern",2,4.5,Mon-Tue 11:00 AM-9:00 PM; Wed-Sat 11:00 AM-10:00 PM; Sun 11:00 AM-9:00 PM,"http://www.olivetreemenu.com/
"
Banyan Tree Restaurant,504 Ramsay Way,Kent,WA,98032,(253) 981-6333,"Thai,Cafe",2,3.5,Mon-Thu 11:00 AM-9:30 PM; Fri-Sat 11:00 AM-10:00 PM; Sun 11:00 AM-9:30 PM,"http://www.banyantreerestaurant.com/
"
Goldensteer Steak And Rib House,23826 104th Ave SE,Kent,WA,98031,(253) 852-1144,"Steak,American,Seafood,Barbecue,Traditional",2,3.5,Open Daily 6:00 AM-11:59 PM,"http://www.goldensteerrestaurant.com/
"
Chipotle Mexican Grill,512 Ramsay Way,Kent,WA,98032,(253) 850-3777,"Mexican,Grill,Tex Mex,Halal,American",1,4,Open Daily 11:00 AM-10:00 PM,"http://www.chipotle.com/
"
Dairy Queen,25206 104th Ave SE,Kent,WA,98030,(253) 854-7626,"Ice Cream,Burgers,Fast Food",1,5,Mon-Thu 11:00 AM-9:00 PM; Fri-Sat 11:00 AM-9:30 PM; Sun 11:00 AM-9:00 PM,"http://www.dairyqueen.com
"
BBQ Pete's,6621 S 211th St,Kent,WA,98032,(425) 251-0778,"Barbecue,American,Californian,Soul Food,Southwestern",2,3.5,Mon 11:00 AM-8:00 PM; Tue-Sat 11:00 AM-8:30 PM; Sun 12:00 PM-8:00 PM,"http://www.bbqpetes.com
"
